ID,Volpiano
"mSCH342
Cantus ID:
Genre: Al | Mode:",1--g--g--ghkjkl--lkllknonnmklmmnmmklmllmlkj-----------
"mSCH343
Cantus ID:
Genre: Al | Mode:",1--g--g--gkhl--kllmonljklkhhglkmjlkhghjhhg------------
"mSCH344
Cantus ID:
Genre: Al | Mode:",1--g--g--hgjkl--ljkjkhhghjjghjkllkkjhjkkkmnllk--------
"mSCH344a
Cantus ID:
Genre: Al | Mode:",1--fd--f--gfhjk--khjhjggfghhfghjkkjggfghhgkljjh-------
"mSCH344b
Cantus ID:
Genre: Al | Mode:",1--ed--fdg--hgjkl--ljkjkhhghjjghjkllkhhghjjhl---------
"mSCH345
Cantus ID:
Genre: Al | Mode:",1--g--g--ghkhlkl--llglmlklknmkklglmlklknmkkl----------
"mSCH346
Cantus ID:
Genre: Al | Mode:",1--gf--g--ghkhl--klljlmlmlmlklkhhglmlmlmlj------------
"mSCH347
Cantus ID:
Genre: Al | Mode:",1--g--g--ghjkjh--klkghgfgghggfhkhjgghggfhkhjjg--------
"mSCH347a
Cantus ID:
Genre: Al | Mode:",1--g--ghk--kjjh--klkghggfgghggfhhkhijgghggfghijhhg----
"mSCH348
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjklkjhh--ggklmmmlkjlkjhghkhjhhggk---------
"mSCH348a
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjhjhh--gklmmjklkjhghjkhjhggklmmj----------
"mSCH349
Cantus ID:
Genre: Al | Mode:",1--g--hfgh--ghkjkl--kjkhghgfhkhjhhg-------------------
"mSCH350
Cantus ID:
Genre: Al | Mode:",1--gh--gf--fhkjhkl--lkmlkmlkkkjghjhgfffhk-------------
"mSCH350a
Cantus ID:
Genre: Al | Mode:",1--de--d--cegegh--hjhggfdefeddcceghgjhgjhggfd---------
"mSCH351
Cantus ID:
Genre: Al | Mode:",1--g--g--ghfhkjhkl--llghjkjhgfhjhgdfghh---------------
"mSCH351a
Cantus ID:
Genre: Al | Mode:",1--d--d--decegfegh--hhhddcefgedcefedefefd-------------
"mSCH352
Cantus ID:
Genre: Al | Mode:",1--g--g--ghfhkjhkl--llgggfhjkhgfhjhghjhjghhg----------
"mSCH353
Cantus ID:
Genre: Al | Mode:",1--gh--g--ghkjklkl--lglmlklkhjhglghghfhkhjhhg---------
"mSCH354
Cantus ID:
Genre: Al | Mode:",1--gh--g--fhkjklkl--llglkllnmkllkllkjhglkll-----------
"mSCH355
Cantus ID:
Genre: Al | Mode:",1--g--ghjkh--kljkjhh--ghjhhghfghjhhggjhhg-------------
"mSCH355a
Cantus ID:
Genre: Al | Mode:",1--e--gh--gjklkkj--gkjkhghfghghkkkjhghjhhg------------
"mSCH356
Cantus ID:
Genre: Al | Mode:",1--gh--hgfg--hkljkhhg--ghgfghkkljkhgfghkhjhhg---------
"mSCH357
Cantus ID:
Genre: Al | Mode:",1--g--hg--ghgklkhjhhg--gfghjkgfghjkghghgffhk----------
"mSCH357a
Cantus ID:
Genre: Al | Mode:",1--g--g--ghklkjhjhg--gfghkkgfghkkghgfhkl--------------
"mSCH358
Cantus ID:
Genre: Al | Mode:",1--g--ghjh--ghjklkk--ghghkjhghghjhhg------------------
"mSCH359
Cantus ID:
Genre: Al | Mode:",1--gk--kkkhg--gljlkkl--lkmjklkjgkkjlkhkhhg------------
"mSCH360
Cantus ID:
Genre: Al | Mode:",1--g--gjlk--jklkjl--lklklnnlklkkkghkkjkmlkh-----------
"mSCH361
Cantus ID:
Genre: Al | Mode:",1--gh--ghjklkhghg--fg--ghhgfhjkjghfgefedghjkjhg-------
"mSCH362
Cantus ID:
Genre: Al | Mode:",1--g--g--jghkklkjlklk--lkjkjghghkkkhjhkjlj------------
"mSCH363
Cantus ID:
Genre: Al | Mode:",1--gh--kjkklklhhg--hj--ggkjhllkjhghgfgdghgfgghg-------
"mSCH364
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkklllkjhg--fg--gglkllloonmnmllkhg-----------
"mSCH365
Cantus ID:
Genre: Al | Mode:",1--ghjkl--kkjhghhg--fhjkl--kjklmlkjkhghfgkjhghhg------
"mSCH366
Cantus ID:
Genre: Al | Mode:",1--gh--gfgkjhjhg--ljhkl--lmnllklmmljlmlkjhggj---------
"mSCH367
Cantus ID:
Genre: Al | Mode:",1--g--g--ghjkjhggl--kllmlklmlkjhghgfhghjhhg-----------
"mSCH367
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkghg--fhkjhkl--lnmklmlnmklmlnonnml----------
"mSCH368
Cantus ID:
Genre: Al | Mode:",1--ghg--g--gkjklkjhjjhg--gdghjjjjhgjklkjhghhg---------
"mSCH370
Cantus ID:
Genre: Al | Mode:",1--ghgh--gfhkklghhg--fghhg--gglklmlkhhklklkjhg--------
"mSCH370a
Cantus ID:
Genre: Al | Mode:",1--ghgh--gfhkklg--fghj--glklmlkhhklklkjhggfgg---------
"mSCH371
Cantus ID:
Genre: Al | Mode:",1--gkkjlkk--ghjkjhjhg--gkkjlkk--ghjkjhjhgeghjkjhjhg---
"mSCH372
Cantus ID:
Genre: Al | Mode:",1--ghj--jkllkjkjhhghjkj--hhg--ghhgdghjjjklkjkjhhg-----
"mSCH372a
Cantus ID:
Genre: Al | Mode:",1--d--dgghhgkhgjeghjkjhggf--ghjhggf--ghjhhgdg---------
"mSCH372b
Cantus ID:
Genre: Al | Mode:",1--d--ghg--hjhh--gdghjjhjkhgjdghjkjhgfghjhjhg---------
"mSCH372c
Cantus ID:
Genre: Al | Mode:",1--gh--ghkkjklkjkjhgghjkj--gf--ghhgghkkjklkjkjhg------
"mSCH372d
Cantus ID:
Genre: Al | Mode:",1--ghj--jjkljhkhgjghkj--h--ghhgghjjjkljhkhgj----------
"mSCH373
Cantus ID:
Genre: Al | Mode:",1--ghg--ghkklkjhkkkjhghhg--ghjkkl--lllkklkjhghhg------
"mSCH374
Cantus ID:
Genre: Al | Mode:",1--ghjk--gfhhgghjkjhjklkjkjggf--hjhh--gghjkjhjklk-----
"mSCH375
Cantus ID:
Genre: Al | Mode:",1--g--g--kjl--lmlkkjklkkklkkklmkkgkhkjkhhghjhhg-------
"mSCH376
Cantus ID:
Genre: Al | Mode:",1--ghh--g--gkjlmm--lkmnnmlmlkllkmnnmlmlkhklllg--------
"mSCH377
Cantus ID:
Genre: Al | Mode:",1--g--g--ghkklm--lklmkmlmllklmjkjghhghkklmll----------
"mSCH378
Cantus ID:
Genre: Al | Mode:",1--g--ghkkkl--ml--llmnonmlkmnmllklllmnonmlk-----------
"mSCH379
Cantus ID:
Genre: Al | Mode:",1--g--ghkklml--kl--lkmnmmlklmkkkjhghhghkklml----------
"mSCH380
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjklm--lklmnmlmlmnmnlklmnmnmlmlmnmlm-------
"mSCH381
Cantus ID:
Genre: Al | Mode:",1--g--g--ghkhkm--kllklmnmlkllhlmlkjkhghjhhg-----------
"mSCH381a
Cantus ID:
Genre: Al | Mode:",1--g--g--gjkhkhhgkmklll--klmnmlmlkjkhghjhhg-----------
"mSCH382
Cantus ID:
Genre: Al | Mode:",1--g--hfg--khkkllm--kkkgklkkhfhjkjlkkkkhghjhhg--------
"mSCH383
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjlm--lmljklmlmklkjkhkmkmlmkkjg------------
"mSCH384
Cantus ID:
Genre: Al | Mode:",1--g--gh--hfhkjhkmk--lghghfgkhkhhg--------------------
"mSCH385
Cantus ID:
Genre: Al | Mode:",1--gf--ghghgf--hkkkklm--lklmkmlmmlkjkjghhghkk---------
"mSCH386
Cantus ID:
Genre: Al | Mode:",1--glm--ljlkjhl--ml--lmlkmomnmlklkmomnmlmlkl----------
"mSCH387
Cantus ID:
Genre: Al | Mode:",1--gh--ghjklkj--klklm--llknmljhkljkghghkljklmlk-------
"mSCH387a
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjklm--lmljklmlkkjhghhgfhklkhklnmnml-------
"mSCH388
Cantus ID:
Genre: Al | Mode:",1--g--hkhk--jkljhkl--lmlkllkjhklmlkkkgkkhkk-----------
"mSCH389
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkghg--fhkjhlm--llkjghfgglmlmlmlj------------
"mSCH390
Cantus ID:
Genre: Al | Mode:",1--ghjkjh--jhg--gklmk--llkjlkjhjhgjhjkjhjhggk---------
"mSCH391
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkghg--fhkjhkllmlkl--llmlmlonnlnkll----------
"mSCH391a
Cantus ID:
Genre: Al | Mode:",1--gh--g--fhkjhkllmlkl--lknlnlomnlmkllomnlm-----------
"mSCH392
Cantus ID:
Genre: Al | Mode:",1--ghj--jjhgkhjhg--gkklmlkl--jjklmmlkhjhggkjhjjhg-----
"mSCH393
Cantus ID:
Genre: Al | Mode:",1--gj--hjkjhgggfg--gjjklmlkkkjhh--gjhjkjhggfhjhgg-----
"mSCH394
Cantus ID:
Genre: Al | Mode:",1--gkhg--hjhhg--klmnmlm--jmlkhjhhghkhjhhgklmlk--------
"mSCH395
Cantus ID:
Genre: Al | Mode:",1--ghg--klllll--klnomm--klmnmmlklmlkjkhhghkkll--------
"mSCH396
Cantus ID:
Genre: Al | Mode:",1--g--ghjkll--mlonmm--lghjkllmlonmmlghjkllmlonmml-----
"mSCH397
Cantus ID:
Genre: Al | Mode:",1--gh--jklmml--lnomn--llmnomonmlkmkljlkjhgghj---------
"mSCH397a
Cantus ID:
Genre: Al | Mode:",1--cd--efghhg--gkkhhg--gghjkhkjhhgfghfgegfeddc--------
"mSCH397b
Cantus ID:
Genre: Al | Mode:",1--fgh--hjklk--k--lmnln--kklmnlnmlkijljkjkjhf---------
"mSCH398
Cantus ID:
Genre: Al | Mode:",1--hg--hgf--gh--hhghgfghhdfghgfghjkjhghhgfghhg--------
"mSCH398a
Cantus ID:
Genre: Al | Mode:",1--h--hg--hgfgh--hhghgfghhdfhgfghjkjhghhg-------------
"mSCH399
Cantus ID:
Genre: Al | Mode:",1--hg--hgfghjhjg--ighg--gjkjkhkjghgfgdghgfgfef--------
"mSCH400
Cantus ID:
Genre: Al | Mode:",1--h--hghjhgfefed--efg--gfghjghgefeeddefg-------------
"mSCH401
Cantus ID:
Genre: Al | Mode:",1--hhh--gj--jjj--hjklkjhhllmlklkjkjklmlklkjlk---------
"mSCH402
Cantus ID:
Genre: Al | Mode:",1--hk--kjg--hjhh--gkjghjhggfedhghjhhg-----------------
"mSCH403
Cantus ID:
Genre: Al | Mode:",1--hj--hhgklmmmmlkljkkhghhg--gkjkl--lmmlkhjhkll-------
"mSCH404
Cantus ID:
Genre: Al | Mode:",1--jhgfg--ggklmlkjhg--jhgfh--ggklmlklkjhghgfg---------
"mSCH405
Cantus ID:
Genre: Al | Mode:",1--jl--lmlkj--jklkjllk--ljlmlkjklllmnonmnmlmlkj-------
"mSCH406
Cantus ID:
Genre: Al | Mode:",1--kkhjhh--gfhjhhg--gllmnmmlkkjhkllmlkllkkjh----------
"mSCH407
Cantus ID:
Genre: Al | Mode:",1--ll--ghjghgf--fg--glkkjhhlkkjhhjklkjhgfghglkjhg-----
"mSCH408
Cantus ID:
Genre: Al | Mode:",1--ll--gglkllmnoonmlnmlml--kl--lglmlklkhhglmnoo-------
"mSCH409
Cantus ID:
Genre: Al | Mode:",1--l--h--kl--lklmnmlklkllklmnmlklklljmnmljk-----------
"mSCH409a
Cantus ID:
Genre: Al | Mode:",1--cd--d--dc--ccddcdefedcdcfecddhjhgfefeg-------------
"mSCH409b
Cantus ID:
Genre: Al | Mode:",1--dc--dfededcd--fghhgfedefdd--dgfgfedefdcdgf---------
"mSCH409c
Cantus ID:
Genre: Al | Mode:",1--h--h--hhgeggh--hghjkjghdhjhgfeghedh----------------
"mSCH409d
Cantus ID:
Genre: Al | Mode:",1--gh--g--fhkjhkl--lnmklmlnmklmllmlkhjhklhgfg---------
"mSCH410
Cantus ID:
Genre: Al | Mode:",1--l--llk--lm--lonmlklljlmmmlkkjhggfhjklmmmlkkjhghhg--
