ID,Volpiano
"mSCH105
Cantus ID:
Genre: Al | Mode:",1--ded--cdefgfed--fed--ccdfghhhhgfgfghhddgfecd--------
"mSCH106
Cantus ID:
Genre: Al | Mode:",1--ddc--cdefgfed--cdeffe--dfghjhghgefeddcefdfgh-------
"mSCH106a
Cantus ID:
Genre: Al | Mode:",1--ddc--cdefed--gfedcdef--dfghgfggghjghfgjhggfe-------
"mSCH107
Cantus ID:
Genre: Al | Mode:",1--ddc--dffdeddcd--fgfedfecd--dhfhgedefgfedeeecdd-----
"mSCH108
Cantus ID:
Genre: Al | Mode:",1--dc--cdefffedcddc--efgfee--dfedfgfefgfdcfghgh-------
"mSCH109
Cantus ID:
Genre: Al | Mode:",1--ddc--dedcdcdfgedfedd--cd--ddcfghhghfgh-------------
"mSCH110
Cantus ID:
Genre: Al | Mode:",1--ddcd--ddcdefggfefededd--cddfffededcddefg-----------
"mSCH111
Cantus ID:
Genre: Al | Mode:",1--dc--dcdefdecdefgedfed--cd--dhggfdegfedcdd----------
"mSCH112
Cantus ID:
Genre: Al | Mode:",1--de--cdffffedcdcedeedc--defedfgd--feffedeffeded-----
"mSCH113
Cantus ID:
Genre: Al | Mode:",1--dc--f--gfh--hjkjhjgfghkhhgfhgedecefggfdefd---------
"mSCH113a
Cantus ID:
Genre: Al | Mode:",1--ed--g--hgkk--jklkjkhghjjljjhgjheffefdfghh----------
"mSCH114
Cantus ID:
Genre: Al | Mode:",1--de--dc--fgh--hgfdfeceghgefdfeceed------------------
"mSCH115
Cantus ID:
Genre: Al | Mode:",1--dfd--cf--igh--hhjhghgfghhhjhghgfghhgghggjhgfeddc---
"mSCH115a
Cantus ID:
Genre: Al | Mode:",1--ege--cg--h--jjkjhhkhghjhhkjhgegeedhg---------------
"mSCH115b
Cantus ID:
Genre: Al | Mode:",1--hkh--k--ln--nnmlmlklmllknnmlmlklmlmlmlkhhg---------
"mSCH115c
Cantus ID:
Genre: Al | Mode:",1--egee--g--hj--jhjhghkhjkkjjkjhjhghkhjhgeed----------
"mSCH116
Cantus ID:
Genre: Al | Mode:",1--dfd--cfe--gh--hhjkjjhghgfgfghhjkjhjhghgfgfgh-------
"mSCH117
Cantus ID:
Genre: Al | Mode:",1--dd--fddcff--ghhjkhjghgfhhkhghghgfedcf--------------
"mSCH118
Cantus ID:
Genre: Al | Mode:",1--d--fddcf--gh--hjkhjghjkhjghgfghhdfghhjkhjg---------
"mSCH119
Cantus ID:
Genre: Al | Mode:",1--dc--ff--gfhgh--hfhkhghgfhdefghgefeed---------------
"mSCH120
Cantus ID:
Genre: Al | Mode:",1--dhhg--hgfedd--cd--dddcgfghgfededcdddhhgfg----------
"mSCH120a
Cantus ID:
Genre: Al | Mode:",1--dhhg--hgfgfedd--cd--ddcgfghgfedcdddhhgfghh---------
"mSCH121
Cantus ID:
Genre: Al | Mode:",1--d--ff--gfhgh--hkhhffghghfhghffecdefgfgfedefd-------
"mSCH122
Cantus ID:
Genre: Al | Mode:",1--de--ddc--fghhgfhhf--gdefedcdcdffghhhgfhgdefedcd----
"mSCH123
Cantus ID:
Genre: Al | Mode:",1--de--d--defgefedgh--hhhgjghhdcdeghffdcdeg-----------
"mSCH123a
Cantus ID:
Genre: Al | Mode:",1--fg--gg--ghjkkjhjkl--kijlijkhijklhghkkkjhjkg--------
"mSCH124
Cantus ID:
Genre: Al | Mode:",1--dcg--ghggdfegf--eee--dffecddcdfffghjhghgf----------
"mSCH125
Cantus ID:
Genre: Al | Mode:",1--dhg--hgfeed--cdefe--dhgfedcdeeddhhhjghhdg----------
"mSCH126
Cantus ID:
Genre: Al | Mode:",1--de--dceghfgefdd--cd--dhjghhgjhgfedeecddghh---------
"mSCH127
Cantus ID:
Genre: Al | Mode:",1--defed--ddc--fghgfggf--fhhgffdfeddcfghgfggf---------
"mSCH128
Cantus ID:
Genre: Al | Mode:",1--defed--ddc--fghgfgh--hgjhgfeghgefdceggef-----------
"mSCH129
Cantus ID:
Genre: Al | Mode:",1--defe--dcddc--fghhgfgg--dffedcfghhgfgdffedcffd------
"mSCH129a
Cantus ID:
Genre: Al | Mode:",1--efgfe--eed--ghjhghh--eggfeedghjhghheggfeedggfhggfe-
"mSCH130
Cantus ID:
Genre: Al | Mode:",1--dedd--cfghgfedc--efee--degegghjhgfhgefdegeg--------
"mSCH130a
Cantus ID:
Genre: Al | Mode:",1--hjhg--cfghgfeddedc--defefed--degegghjhgfhgefd------
"mSCH131
Cantus ID:
Genre: Al | Mode:",1--dhhgh--gfed--fgedffdcd--dhhghefggcdffefgfefd-------
"mSCH132
Cantus ID:
Genre: Al | Mode:",1--d--cegfecd--dcfghgfg--ghghgfgfgedfdeddec-----------
"mSCH133
Cantus ID:
Genre: Al | Mode:",1--defed--dcddc--fghgfghg--hjjhdhjhghggfgfggh---------
"mSCH134
Cantus ID:
Genre: Al | Mode:",1--dc--defdeddc--fghhgghggf--eeghgfedefdce------------
"mSCH135
Cantus ID:
Genre: Al | Mode:",1--dfefdedcfghh--ghgf--ghhg--hfgfdefgfddcfggh---------
"mSCH136
Cantus ID:
Genre: Al | Mode:",1--ddc--cdefgdedcfghhg--edff--dhghjklkjhgjkjjh--------
"mSCH137
Cantus ID:
Genre: Al | Mode:",1--dc--defeddcd--fghhggf--ghhdhhggfghdcdf-------------
"mSCH138
Cantus ID:
Genre: Al | Mode:",1--dff--efgedfeed--fghhj--ghefgdfeddcdfgedfdefdc------
"mSCH139
Cantus ID:
Genre: Al | Mode:",1--defe--dcddcfghjhgf--gjj--hdhjhgfghhhgfefgg---------
"mSCH139a
Cantus ID:
Genre: Al | Mode:",1--defe--ddc--fghjhgf--ghhdhjhgfghhhggfefgfedcdd------
"mSCH140
Cantus ID:
Genre: Al | Mode:",1--dc--dfgfedfeddc--fghj--hfghgfghhjkhgjgfghjgfg------
"mSCH140a
Cantus ID:
Genre: Al | Mode:",1--gh--hjlkjhkkh--klmn--mklmlklkllmkmnmlmlklkll-------
"mSCH141
Cantus ID:
Genre: Al | Mode:",1--de--dcfghjhgfedcdef--efee--ddefghgfedcdef----------
"mSCH142
Cantus ID:
Genre: Al | Mode:",1--defed--ddc--fghjhgfghhhgeffe--ddhjhgfghhhgeffed----
